millis,state,yaw_deg,pitch_deg,roll_deg,ax_G,ay_G,az_G,pressure_kPa,altitude_ft
12953,GROUND,140.558,-56.497,-169.261,-0.813,0.101,0.529,100.200,308.500
12956,GROUND,140.564,-56.503,-169.277,-0.817,0.101,0.525,100.216,304.099
12959,GROUND,140.573,-56.504,-169.290,-0.815,0.098,0.522,100.200,308.500
12962,GROUND,140.573,-56.504,-169.290,-0.815,0.098,0.522,100.200,308.500
12964,GROUND,140.573,-56.504,-169.290,-0.815,0.098,0.522,100.200,308.500
12967,GROUND,140.573,-56.504,-169.290,-0.815,0.098,0.522,100.200,308.500
12973,GROUND,140.585,-56.502,-169.300,-0.815,0.097,0.512,100.211,305.476
12976,GROUND,140.849,-56.379,-169.319,-0.803,0.098,0.482,100.200,308.500
12979,GROUND,140.889,-56.348,-169.301,-0.793,0.104,0.486,100.204,307.400
12982,GROUND,140.932,-56.318,-169.281,-0.788,0.113,0.490,100.211,305.476
12985,GROUND,140.932,-56.318,-169.281,-0.788,0.113,0.490,100.211,305.476
12988,GROUND,140.932,-56.318,-169.281,-0.788,0.113,0.490,100.211,305.476
12990,GROUND,140.932,-56.318,-169.281,-0.788,0.113,0.490,100.211,305.476
12996,GROUND,140.976,-56.287,-169.255,-0.790,0.118,0.484,100.216,304.099
12999,GROUND,141.017,-56.252,-169.221,-0.788,0.118,0.481,100.200,308.500
13002,GROUND,141.047,-56.209,-169.172,-0.783,0.119,0.480,100.189,311.533
13005,GROUND,141.049,-56.156,-169.101,-0.782,0.115,0.484,100.200,308.500
13008,GROUND,141.019,-56.092,-169.007,-0.750,0.092,0.504,100.204,307.400
13011,GROUND,141.019,-56.092,-169.007,-0.750,0.092,0.504,100.204,307.400
13014,GROUND,141.019,-56.092,-169.007,-0.750,0.092,0.504,100.204,307.400
13017,GROUND,141.019,-56.092,-169.007,-0.750,0.092,0.504,100.204,307.400
13022,GROUND,140.955,-56.019,-168.895,-0.750,0.083,0.511,100.200,308.500
13025,GROUND,140.862,-55.940,-168.759,-0.756,0.082,0.510,100.204,307.400
13028,GROUND,140.750,-55.854,-168.601,-0.748,0.072,0.517,100.204,307.400
13032,GROUND,140.625,-55.764,-168.432,-0.752,0.064,0.520,100.211,305.476
13035,GROUND,140.498,-55.677,-168.258,-0.766,0.063,0.526,100.211,305.476
13038,GROUND,140.498,-55.677,-168.258,-0.766,0.063,0.526,100.211,305.476
13041,GROUND,140.498,-55.677,-168.258,-0.766,0.063,0.526,100.211,305.476
13043,GROUND,140.498,-55.677,-168.258,-0.766,0.063,0.526,100.211,305.476
13048,GROUND,140.368,-55.592,-168.077,-0.777,0.062,0.524,100.211,305.476
13051,GROUND,140.236,-55.510,-167.890,-0.788,0.064,0.523,100.211,305.476
13054,GROUND,140.106,-55.429,-167.702,-0.809,0.063,0.521,100.204,307.400
13058,GROUND,139.976,-55.350,-167.521,-0.818,0.061,0.526,100.204,307.400
13061,GROUND,139.853,-55.273,-167.349,-0.837,0.066,0.533,100.204,307.400
13063,GROUND,139.853,-55.273,-167.349,-0.837,0.066,0.533,100.204,307.400
13066,GROUND,139.853,-55.273,-167.349,-0.837,0.066,0.533,100.204,307.400
13069,GROUND,139.853,-55.273,-167.349,-0.837,0.066,0.533,100.204,307.400
13074,GROUND,139.737,-55.198,-167.188,-0.851,0.069,0.541,100.200,308.500
13077,GROUND,139.630,-55.128,-167.040,-0.864,0.073,0.545,100.211,305.476
13081,GROUND,139.536,-55.062,-166.910,-0.874,0.078,0.548,100.200,308.500
13084,GROUND,139.460,-55.001,-166.802,-0.875,0.088,0.555,100.216,304.099
13087,GROUND,139.406,-54.944,-166.718,-0.875,0.101,0.558,100.204,307.400
13090,GROUND,139.406,-54.944,-166.718,-0.875,0.101,0.558,100.204,307.400
13093,GROUND,139.406,-54.944,-166.718,-0.875,0.101,0.558,100.204,307.400
13095,GROUND,139.406,-54.944,-166.718,-0.875,0.101,0.558,100.204,307.400
